% Model,COMSOL_Bitter_Coils_01.mph,
% Version,COMSOL 6.3.0.335,
% Date,"Apr 25 2025, 18:08",
% Dimension,2,
% Nodes,2503,
% Expressions,1,
% Description,Surface,
x,z,Normal current density
-0.003125391,2.03E-04,6.88E+08
-0.003100586,2.29E-04,6.87E+08
-0.003075781,2.54E-04,6.87E+08
-0.003050977,2.79E-04,6.86E+08
-0.003026172,3.05E-04,6.85E+08
-0.003150195,2.29E-04,6.89E+08
-0.003125391,2.54E-04,6.88E+08
-0.003100586,2.79E-04,6.87E+08
-0.003075781,3.05E-04,6.87E+08
-0.003175,2.54E-04,6.90E+08
-0.003150195,2.79E-04,6.89E+08
-0.003125391,3.05E-04,6.88E+08
-0.003199805,2.79E-04,6.91E+08
-0.003175,3.05E-04,6.90E+08
-0.003224609,3.05E-04,6.92E+08
-0.002951758,2.79E-04,6.82E+08
-0.002976563,2.54E-04,6.83E+08
-0.003001367,2.29E-04,6.84E+08
-0.003026172,2.03E-04,6.85E+08
-0.003050977,1.78E-04,6.86E+08
-0.002926953,2.54E-04,6.81E+08
-0.002951758,2.29E-04,6.82E+08
-0.002976563,2.03E-04,6.83E+08
-0.003001367,1.78E-04,6.84E+08
-0.002902148,2.29E-04,6.81E+08
-0.002926953,2.03E-04,6.82E+08
-0.002951758,1.78E-04,6.82E+08
-0.002877344,2.03E-04,6.80E+08
-0.002902148,1.78E-04,6.81E+08
-0.002852539,1.78E-04,6.79E+08
-0.00280293,1.27E-04,6.77E+08
-0.002827734,1.02E-04,6.78E+08
-0.002852539,7.62E-05,6.79E+08
-0.002877344,5.08E-05,6.80E+08
-0.002902148,2.54E-05,6.81E+08
-0.002926953,-5.98E-15,6.81E+08
-0.002778125,1.02E-04,6.76E+08
-0.00280293,7.62E-05,6.77E+08
-0.002827734,5.08E-05,6.78E+08
-0.002852539,2.54E-05,6.79E+08
-0.002877344,-5.98E-15,6.80E+08
-0.00275332,7.62E-05,6.75E+08
-0.002778125,5.08E-05,6.76E+08
-0.00280293,2.54E-05,6.77E+08
-0.002827734,-5.98E-15,6.78E+08
-0.002728516,5.08E-05,6.74E+08
-0.00275332,2.54E-05,6.75E+08
-0.002778125,-5.98E-15,6.76E+08
-0.002703711,2.54E-05,6.73E+08
-0.002728516,-5.98E-15,6.74E+08
-0.002678906,-5.98E-15,6.73E+08
-0.002654102,2.54E-05,6.72E+08
-0.002629297,5.08E-05,6.71E+08
-0.002604492,7.62E-05,6.70E+08
-0.002579688,1.02E-04,6.69E+08
-0.002554883,1.27E-04,6.68E+08
-0.002530078,1.52E-04,6.67E+08
-0.002678906,5.08E-05,6.73E+08
-0.002654102,7.62E-05,6.72E+08
-0.002629297,1.02E-04,6.71E+08
-0.002604492,1.27E-04,6.70E+08
-0.002579688,1.52E-04,6.69E+08
-0.002703711,7.62E-05,6.74E+08
-0.002678906,1.02E-04,6.73E+08
-0.002654102,1.27E-04,6.72E+08
-0.002629297,1.52E-04,6.71E+08
-0.002728516,1.02E-04,6.74E+08
-0.002703711,1.27E-04,6.74E+08
-0.002678906,1.52E-04,6.73E+08
-0.00275332,1.27E-04,6.75E+08
-0.002728516,1.52E-04,6.75E+08
-0.002778125,1.52E-04,6.76E+08
-0.002678906,3.05E-04,6.73E+08
-0.002703711,2.79E-04,6.73E+08
-0.002728516,2.54E-04,6.74E+08
-0.00275332,2.29E-04,6.75E+08
-0.002778125,2.03E-04,6.76E+08
-0.00280293,1.78E-04,6.77E+08
-0.002654102,2.79E-04,6.72E+08
-0.002678906,2.54E-04,6.73E+08
-0.002703711,2.29E-04,6.74E+08
-0.002728516,2.03E-04,6.75E+08
-0.00275332,1.78E-04,6.75E+08
-0.002629297,2.54E-04,6.71E+08
-0.002654102,2.29E-04,6.72E+08
-0.002678906,2.03E-04,6.73E+08
-0.002703711,1.78E-04,6.74E+08
-0.002604492,2.29E-04,6.70E+08
-0.002629297,2.03E-04,6.71E+08
-0.002654102,1.78E-04,6.72E+08
-0.002579688,2.03E-04,6.69E+08
-0.002604492,1.78E-04,6.70E+08
-0.002554883,1.78E-04,6.68E+08
-0.002827734,2.03E-04,6.78E+08
-0.00280293,2.29E-04,6.77E+08
-0.002778125,2.54E-04,6.76E+08
-0.00275332,2.79E-04,6.75E+08
-0.002728516,3.05E-04,6.74E+08
-0.002852539,2.29E-04,6.79E+08
-0.002827734,2.54E-04,6.78E+08
-0.00280293,2.79E-04,6.77E+08
-0.002778125,3.05E-04,6.76E+08
-0.002877344,2.54E-04,6.80E+08
-0.002852539,2.79E-04,6.79E+08
-0.002827734,3.05E-04,6.78E+08
-0.002902148,2.79E-04,6.80E+08
-0.002877344,3.05E-04,6.80E+08
-0.002926953,3.05E-04,6.81E+08
-0.002505273,1.27E-04,6.66E+08
-0.002530078,1.02E-04,6.67E+08
-0.002554883,7.62E-05,6.68E+08
-0.002579688,5.08E-05,6.69E+08
-0.002604492,2.54E-05,6.70E+08
-0.002629297,-5.98E-15,6.71E+08
-0.002480469,1.02E-04,6.65E+08
-0.002505273,7.62E-05,6.66E+08
-0.002530078,5.08E-05,6.67E+08
-0.002554883,2.54E-05,6.68E+08
-0.002579688,-5.98E-15,6.69E+08
-0.002455664,7.62E-05,6.64E+08
-0.002480469,5.08E-05,6.65E+08
-0.002505273,2.54E-05,6.66E+08
-0.002530078,-5.98E-15,6.67E+08
-0.002430859,5.08E-05,6.63E+08
-0.002455664,2.54E-05,6.64E+08
-0.002480469,-5.98E-15,6.65E+08
-0.002406055,2.54E-05,6.62E+08
-0.002430859,-5.98E-15,6.63E+08
-0.00238125,-5.98E-15,6.61E+08
-0.002356445,2.54E-05,6.60E+08
-0.002331641,5.08E-05,6.59E+08
-0.002306836,7.62E-05,6.58E+08
-0.002282031,1.02E-04,6.57E+08
-0.002257227,1.27E-04,6.56E+08
-0.002232422,1.52E-04,6.55E+08
-0.00238125,5.08E-05,6.61E+08
-0.002356445,7.62E-05,6.60E+08
-0.002331641,1.02E-04,6.59E+08
-0.002306836,1.27E-04,6.58E+08
-0.002282031,1.52E-04,6.57E+08
